file	n_pages_livestock	n_pages_sheep	n_pages_cattle	n_pages_trampl	n_pages_graz	n_pages_sedi	n_pages_qual	n_hits	n_pages
/datadrive/data/ESAdocs/federal_register/2012-31667.pdf	17	2	3	1	46	0	1	70	54
/datadrive/data/ESAdocs/federal_register/2012-31718.pdf	0	0	0	0	1	0	0	1	2
/datadrive/data/ESAdocs/federal_register/2012-3591.pdf	34	1	6	2	99	31	19	192	124
/datadrive/data/ESAdocs/federal_register/2012-3903.pdf	0	0	0	8	41	8	1	58	55
/datadrive/data/ESAdocs/federal_register/2012-4716.pdf	3	0	0	0	9	0	0	12	10
/datadrive/data/ESAdocs/federal_register/2012-5042.pdf	1	0	0	0	68	0	4	73	105
/datadrive/data/ESAdocs/federal_register/2012-5212.pdf	0	0	0	0	3	0	0	3	3
/datadrive/data/ESAdocs/federal_register/2012-521.pdf	0	0	0	0	10	0	0	10	12
/datadrive/data/ESAdocs/federal_register/2012-5335.pdf	0	0	0	0	3	0	0	3	4
/datadrive/data/ESAdocs/federal_register/2012-5603.pdf	3	32	1	1	26	15	10	88	37
/datadrive/data/ESAdocs/federal_register/2012-5953.pdf	28	0	8	2	51	7	4	100	102
/datadrive/data/ESAdocs/federal_register/2012-6055.pdf	0	0	0	0	16	0	0	16	19
/datadrive/data/ESAdocs/federal_register/2012-662.pdf	0	0	0	0	0	0	0	0	3
/datadrive/data/ESAdocs/federal_register/2012-6779.pdf	0	0	0	0	7	0	0	7	7
/datadrive/data/ESAdocs/federal_register/2012-6853.pdf	0	0	0	0	1	0	0	1	3
/datadrive/data/ESAdocs/federal_register/2012-7087.pdf	0	0	0	0	8	0	0	8	16
/datadrive/data/ESAdocs/federal_register/2012-7180.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2012-7198.pdf	0	1	0	0	33	8	8	50	43
/datadrive/data/ESAdocs/federal_register/2012-7200.pdf	0	0	0	0	2	0	0	2	4
/datadrive/data/ESAdocs/federal_register/2012-8088.pdf	0	0	0	4	32	0	0	36	40
/datadrive/data/ESAdocs/federal_register/2012-8664.pdf	0	1	0	0	30	6	2	39	51
/datadrive/data/ESAdocs/federal_register/2012-8744.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2012-8811.pdf	5	0	4	1	24	6	3	43	34
/datadrive/data/ESAdocs/federal_register/2012-926.pdf	0	0	0	0	2	0	1	3	2
/datadrive/data/ESAdocs/federal_register/2012-9403.pdf	0	0	0	0	15	0	0	15	18
/datadrive/data/ESAdocs/federal_register/2012-9884.pdf	1	0	0	0	6	0	0	7	10
/datadrive/data/ESAdocs/federal_register/2013-00291.pdf	0	0	5	0	10	0	0	15	11
/datadrive/data/ESAdocs/federal_register/2013-00692.pdf	1	0	1	0	10	0	0	12	12
/datadrive/data/ESAdocs/federal_register/2013-01155.pdf	0	0	0	0	1	0	0	1	2
/datadrive/data/ESAdocs/federal_register/2013-01292.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2013-01293.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2013-01302.pdf	4	0	1	1	16	7	3	32	19
/datadrive/data/ESAdocs/federal_register/2013-01303.pdf	6	1	1	1	16	7	2	34	17
/datadrive/data/ESAdocs/federal_register/2013-01307.pdf	1	0	0	0	6	1	2	10	19
/datadrive/data/ESAdocs/federal_register/2013-01478.pdf	3	0	0	0	25	0	0	28	28
/datadrive/data/ESAdocs/federal_register/2013-01479.pdf	2	0	0	0	13	0	0	15	16
/datadrive/data/ESAdocs/federal_register/2013-02051.pdf	0	0	0	0	2	0	0	2	5
/datadrive/data/ESAdocs/federal_register/2013-02057.pdf	4	0	9	2	62	9	6	92	75
/datadrive/data/ESAdocs/federal_register/2013-02453.pdf	0	0	0	0	2	0	0	2	3
/datadrive/data/ESAdocs/federal_register/2013-03109.pdf	0	1	0	0	30	7	2	40	49
/datadrive/data/ESAdocs/federal_register/2013-03111.pdf	2	0	0	0	5	0	0	7	7
/datadrive/data/ESAdocs/federal_register/2013-03136.pdf	0	0	1	0	20	0	0	21	23
/datadrive/data/ESAdocs/federal_register/2013-04046.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2013-04785.pdf	0	0	0	0	5	0	0	5	15
/datadrive/data/ESAdocs/federal_register/2013-04888.pdf	2	0	0	0	3	0	0	5	4
/datadrive/data/ESAdocs/federal_register/2013-05237.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2013-05504.pdf	0	0	2	0	16	0	0	18	18
/datadrive/data/ESAdocs/federal_register/2013-05997.pdf	0	0	0	0	2	0	1	3	2
/datadrive/data/ESAdocs/federal_register/2013-06458.pdf	0	0	0	0	34	2	1	37	84
/datadrive/data/ESAdocs/federal_register/2013-06612.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2013-07122.pdf	2	0	1	0	4	0	0	7	5
/datadrive/data/ESAdocs/federal_register/2013-07159.pdf	2	0	0	0	4	0	0	6	6
/datadrive/data/ESAdocs/federal_register/2013-07306.pdf	0	1	0	0	5	0	2	8	5
/datadrive/data/ESAdocs/federal_register/2013-07495.pdf	0	0	0	0	5	0	0	5	5
/datadrive/data/ESAdocs/federal_register/2013-07792.pdf	0	0	0	0	8	0	0	8	13
/datadrive/data/ESAdocs/federal_register/2013-08364.pdf	0	0	0	0	24	2	1	27	34
/datadrive/data/ESAdocs/federal_register/2013-08815.pdf	0	0	0	0	2	0	2	4	2
/datadrive/data/ESAdocs/federal_register/2013-09241.pdf	0	0	0	0	3	0	0	3	4
/datadrive/data/ESAdocs/federal_register/2013-09404.pdf	1	0	0	5	22	2	1	31	26
